;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
Temp neg (result 24);8986;-4479;608;-1649;608;-608;608;-608;608;-1649;608;-608;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-1649;608;-608;608;-608;608;-1649;608;-608;608;-19990;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-1649;608;-1649;132586;-1261930
Temp pos (result 25);9006;-4480;609;-1647;609;-609;609;-609;609;-1647;609;-609;609;-1647;609;-609;609;-609;609;-1647;609;-609;609;-609;609;-1647;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1647;609;-1647;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1647;609;-609;609;-1647;609;-609;609;-609;609;-1647;609;-609;609;-19991;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1647;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1647;609;-1647;609;-1647;130759;-1030042
Temp pos (result 26);9019;-4463;609;-1649;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-1649;609;-609;609;-19986;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-1649;609;-1649;609;-1649;126230;-16215604
Swing on;9013;-4469;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-19994;608;-1650;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;126485;-1855835
Swing off;8991;-4468;608;-1649;608;-608;608;-608;608;-1649;608;-608;608;-1649;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-1649;608;-608;608;-608;608;-1649;608;-608;608;-19990;608;-608;608;-608;608;-608;729;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1649;608;-1649;608;-1649;608;-1649;134810;-13274142
Fan 3;9004;-4482;609;-1650;609;-609;609;-609;609;-1650;609;-1650;609;-1650;609;-609;609;-609;609;-609;609;-1650;609;-609;609;-1650;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1650;609;-1650;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1650;609;-609;609;-1650;609;-609;609;-609;609;-1650;609;-609;609;-19984;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1650;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1650;609;-1650;609;-1650;609;-1650;126682;-16777215
Fan 4;8988;-4468;610;-1650;610;-610;610;-610;610;-1650;610;-1650;610;-1650;610;-610;610;-610;610;-610;610;-1650;610;-610;610;-1650;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-1650;610;-1650;610;-1650;610;-610;610;-610;610;-610;610;-610;610;-610;610;-1650;610;-610;610;-1650;610;-610;610;-610;610;-1650;610;-610;610;-19992;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-1650;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-610;610;-1650;610;-1650;610;-1650;610;-1650;133894;-2213246
Fan auto;9008;-4466;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-19988;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-1650;608;-1650;608;-1650;127495;-1166755
Fan 1;8994;-4472;609;-1648;609;-609;609;-609;609;-1648;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-19992;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-1648;609;-1648;129391;-548739
Fan 2;8971;-4467;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-19985;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-1648;609;-1648;127461;-5426767
Turn off;8969;-4469;606;-1649;606;-606;606;-606;606;-606;606;-606;606;-1649;606;-606;606;-606;606;-606;606;-1649;606;-606;606;-1649;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-1649;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-1649;606;-606;606;-1649;606;-606;606;-606;606;-1649;606;-606;606;-19998;606;-606;710;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-1649;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-606;606;-1649;606;-1649;606;-1649;606;-606;125776;-284887
avg;8997,952381;-4471,904762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-20137,85714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130625,1429;-4898129
max;9024;-4463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135253;
min;8969;-4482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125776;
